Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Ronald Jones;4955;2021;13;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;14;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;15;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;16;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Sammy Watkins;1817;2021;0;Arneee;4275000 ;1800000 ;;;0,00 ;;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;1;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;2;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;3;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;4;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;5;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;6;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;7;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;8;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;9;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;10;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;11;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;12;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;13;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;14;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;15;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Sammy Watkins;1817;2021;16;Arneee;4275000 ;1800000 ;267188 ;112500 ;0,00 ;16;Roster;;2021;;;;;;;
Teddy Bridgewater;2152;2021;0;Arneee;1157000 ;643500 ;;;0,00 ;;Roster;;2022;;;;;;;
Teddy Bridgewater;2152;2021;1;Arneee;1157000 ;643500 ;72313 ;40219 ;0,00 ;16;Roster;;2022;;;;;;;
Teddy Bridgewater;2152;2021;2;Arneee;1157000 ;643500 ;72313 ;40219 ;0,00 ;16;Roster;;2022;;;;;;;
